setup_date,fill_date,strategy,direction,contracts,fill_price,exit_price,exit_reason,pts,pts_net,pnl_dollars,risk_pts,R,equity_after
2013-10-17,2013-10-18,TOPQ,long,3,3310.75,3338.125,target,27.375,26.875,156.75,27.875,0.9641255605381166,28554.67999999999
2013-10-21,2013-10-22,NR7,long,4,3362.5,3342.5,stop,-20.0,-20.5,-170.0,20.0,-1.025,28384.67999999999
2013-10-24,2013-10-25,TOPQ,long,4,3380.0,3373.75,close,-6.25,-6.75,-60.0,22.375,-0.3016759776536313,28324.67999999999
2013-10-31,2013-11-01,TOPQ,short,6,3360.5,3377.375,stop,-16.875,-17.375,-217.5,16.875,-1.0296296296296297,28107.17999999999
2013-11-04,2013-11-05,NR7,long,4,3387.5,3366.75,stop,-20.75,-21.25,-176.0,20.75,-1.0240963855421688,27931.17999999999
2013-11-06,2013-11-07,TOPQ,short,6,3370.0,3384.125,ambiguous_stop,-14.125,-14.625,-184.5,14.125,-1.0353982300884956,27746.67999999999
2013-11-07,2013-11-08,TOPQ,short,2,3314.0,3350.625,stop,-36.625,-37.125,-151.5,36.625,-1.0136518771331058,27595.17999999999
2013-11-12,2013-11-13,TOPQ,long,8,3367.0,3355.25,ambiguous_stop,-11.75,-12.25,-208.0,11.75,-1.0425531914893618,27387.17999999999
2013-11-13,2013-11-14,TOPQ,long,2,3407.0,3410.5,close,3.5,3.0,9.0,34.5,0.08695652173913043,27396.17999999999
2013-11-15,2013-11-18,NR7,long,6,3421.5,3405.25,stop,-16.25,-16.75,-210.0,16.25,-1.0307692307692307,27186.17999999999
2013-11-18,2013-11-19,TOPQ,short,3,3380.0,3375.5,close,4.5,4.0,19.5,23.0,0.17391304347826086,27205.67999999999
2013-11-19,2013-11-20,TOPQ,short,6,3370.5,3385.625,stop,-15.125,-15.625,-196.5,15.125,-1.0330578512396693,27009.17999999999
2013-11-27,2013-11-29,TOPQ,long,8,3472.5,3485.5,target,13.0,12.5,188.0,13.5,0.9259259259259259,27197.17999999999
2013-12-10,2013-12-11,NR7,short,6,3507.5,3479.78,target,27.7199999999998,27.2199999999998,317.6399999999976,16.75,1.6250746268656597,27514.819999999985
